Indices,A8_ECG
0,-18823.648691939416
1,-18764.91986152115
2,-18705.281707722515
3,-18647.177666465184
4,-18590.92391432327
5,-18535.234212763156
6,-18480.833514849164
7,-18426.46620146514
8,-18372.06994591959
9,-18318.936663149016
10,-18266.844636034977
11,-18213.796272822256
12,-18159.81932511501
13,-18105.76442361905
14,-18051.16395886043
15,-17997.578006953707
16,-17945.1405345113
17,-17892.713836639516
18,-17840.67367183481
19,-17787.578094491186
20,-17733.179758858572
21,-17678.44634569633
22,-17622.948870076776
23,-17567.28421950323
24,-17511.529452599036
25,-17455.006126589222
26,-17397.836191553044
27,-17341.53185094012
28,-17286.13139202253
29,-17230.9861928874
30,-17176.481465229164
31,-17121.564203799786
32,-17066.16539019605
33,-17011.13248143286
34,-16956.235447931278
35,-16899.337024395896
36,-16840.3207618455
37,-16780.029443909956
38,-16717.872817368232
39,-16655.28775486957
40,-16592.316757544133
41,-16527.711827942403
42,-16461.744977000042
43,-16395.647947818983
44,-16329.354260295038
45,-16262.43104588973
46,-16195.154139477976
47,-16126.432732322357
48,-16056.187283952564
49,-15985.168931443815
50,-15913.116085657239
51,-15841.76671225775
52,-15771.357721650214
53,-15700.869136781224
54,-15630.806963145067
55,-15560.326586202553
56,-15489.354214337358
57,-15418.762599882823
58,-15348.385653807954
59,-15276.683142417845
60,-15203.643419208114
61,-15129.905774974684
62,-15055.089332186375
63,-14980.328739177932
64,-14905.702495815696
65,-14830.333594548252
66,-14754.477550344891
67,-14594.105898727821
68,-14340.472597508908
69,-14033.035533169941
70,-13647.289994003995
71,-13231.10075523968
72,-12786.09367252911
73,-12265.863612444318
74,-11678.871424409263
75,-11085.66796975733
76,-10484.358563964648
77,-9850.076599400047
78,-9196.569890785508
79,-8474.058546779528
80,-7678.1913875538585
81,-6844.0646384667125
82,-5959.46660586285
83,-5081.591585741336
84,-4219.014539995286
85,-3335.1942802454128
86,-2446.7548780311213
87,-1527.5656812192897
88,-574.5543215994503
89,384.64010153974726
90,1355.4960187921174
91,2394.125466771578
92,3501.8107249119694
93,4655.264622638744
94,5868.826148814556
95,7102.946820851123
96,8355.255303741555
97,9657.55507567379
98,11001.324199539473
99,12323.271486478518
100,13620.841220463722
101,14917.921786311586
102,16197.354352085344
103,17503.579197588973
104,18837.97313223118
105,20163.07769065536
106,21487.50911078761
107,22845.813571234765
108,24236.00850068359
109,25646.768679098
110,27085.892343423406
111,28522.312609458982
112,29954.008719224184
113,31402.43189192708
114,32860.274772740086
115,34382.1802844218
116,35975.534441197735
117,37609.09986762152
118,39298.87780768714
119,41018.12295935841
120,42764.77874506417
121,44566.58394238828
122,46418.44851553113
123,48273.29998980245
124,50131.08276536558
125,52011.50553878021
126,53903.116190963236
127,55841.179725407375
128,57828.3248721843
129,59837.76847989583
130,61877.62630813666
131,63584.168111941835
132,64917.18522409678
133,66052.66957871511
134,66884.0653132291
135,67613.40027116265
136,68248.25472706108
137,68589.90843065165
138,68674.04488757493
139,68771.65606725687
140,68875.54793198968
141,68873.2582201992
142,68826.82652204267
143,68516.51896237384
144,67923.19816198756
145,67203.16749091935
146,66302.76754967618
147,65461.25199713957
148,64715.64341712272
149,63911.30450344339
150,63118.132052673594
151,62229.1100396294
152,61231.37846393528
153,60239.85540800427
154,59232.20714692528
155,57969.99883827265
156,56447.62038692947
157,54764.78479814112
158,52860.5915932909
159,50902.57435532711
160,48900.97892324156
161,46721.016542080906
162,44398.88793123387
163,42219.85298747582
164,40196.55172887434
165,38219.91695973748
166,36367.67905021485
167,34441.92142634733
168,32436.566849216633
169,30519.79379522342
170,28653.460482968596
171,26679.356346232096
172,24606.3771258256
173,22487.460837749426
174,20286.960166247143
175,18146.468048443247
176,16075.498798266428
177,13976.32370577216
178,11882.42011227869
179,9551.52278173395
180,6950.789972007056
181,4219.6821169635705
182,1287.3508808115184
183,-1727.8881697860002
184,-4816.623016874783
185,-8101.487681372219
186,-11559.780738593689
187,-14981.212241674586
188,-18365.184125035707
189,-21799.562829896517
190,-25232.97137436803
191,-28822.262167941244
192,-32578.917988253495
193,-36383.27384481895
194,-40271.23213330629
195,-43648.60381588635
196,-46441.63845720653
197,-48954.33902174885
198,-51010.77627316526
199,-52923.448836205185
200,-54706.13629281609
201,-56041.09436543909
202,-56983.112790733685
203,-58003.53917885437
204,-59093.57021543526
205,-60053.32801098499
206,-60992.06232929325
207,-61536.621431554435
208,-61654.38723699212
209,-61614.6228869928
210,-61326.70945147758
211,-61153.88709196496
212,-61155.9529657829
213,-61091.52012526981
214,-61067.65245129842
215,-60929.09903402266
216,-60655.92653225322
217,-60420.04951958656
218,-60189.135292988176
219,-59587.90661458557
220,-58606.64081194855
221,-57404.29172257641
222,-55884.834612078295
223,-54309.608583135705
224,-52694.92431715298
225,-50829.65079727211
226,-48770.30851483097
227,-47020.66683233526
228,-45606.29331261132
229,-44329.57110366545
230,-43328.76709574274
231,-42261.36905362799
232,-41116.67790730936
233,-40189.4594154943
234,-39414.15719022652
235,-38502.730723943154
236,-37470.40164639139
237,-36416.44375974378
238,-35275.87808221898
239,-34303.62532987922
240,-33517.435085820965
241,-32740.85464349219
242,-32034.420876357704
243,-30982.43412172629
244,-29527.911925012562
245,-27912.71564620255
246,-26015.324535457417
247,-24037.349086004815
248,-21995.511931685138
249,-19680.33970610409
250,-17130.81771838006
251,-14712.265865397114
252,-12426.484319198365
253,-10120.884906789646
254,-7885.1397686563705
255,-5448.343356209992
256,-2790.9998376123367
257,-120.88211311298187
258,2623.670421231451
259,4948.5614807365555
260,6780.66766980015
261,8395.703132497245
262,9644.468906889626
263,10761.379652509071
264,11759.509979114211
265,12384.233719745102
266,12675.744041887736
267,13066.297944253389
268,13552.430614848407
269,13944.623271574379
270,14344.5911168393
271,14421.593488619075
272,14146.234272680336
273,13761.81517467112
274,13188.442310914264
275,12689.062142032115
276,12312.125208994456
277,11872.307035204882
278,11448.308102329445
279,10938.212159396975
280,10326.615876107715
281,9733.91800079771
282,9138.735054450019
283,8248.552473781983
284,7054.157237965867
285,5681.916953626895
286,4056.481489647556
287,2377.552902026546
288,657.7642215114201
289,-1266.1143734867908
290,-3351.082005597703
291,-5122.567313787524
292,-6552.440419681312
293,-7834.046980314025
294,-8836.037909320608
295,-9872.22746291363
296,-10952.989294595829
297,-11803.779889734045
298,-12484.313226006292
299,-13278.095553961732
300,-14171.76853821813
301,-15064.294984696788
302,-16019.993386767761
303,-16792.324527535875
304,-17363.61551086345
305,-17905.749063794636
306,-18360.084256519134
307,-19102.652949925177
308,-20186.15642440075
309,-21388.808440704237
310,-22820.70547161853
311,-24301.907458957416
312,-25816.84556047261
313,-27553.85770652513
314,-29477.99927283904
315,-31253.249553678797
316,-32877.24833066042
317,-34490.74436340331
318,-36010.93864335974
319,-37685.437474955244
320,-39531.908932878905
321,-41359.53960347017
322,-43224.46856680258
323,-44756.16296680119
324,-45895.74591996483
325,-46856.92215582435
326,-47526.669889902914
327,-48072.26002889537
328,-48503.73611420278
329,-48633.05789283554
330,-48488.3581237147
331,-48406.53904673475
332,-48385.995990672964
