Index,Filtered_Signal
0,-3.368665
1,-129.947116
2,-967.610731
3,9985.730719
4,-42660.509631
5,65997.534317
6,-31532.657096
7,-27788.816544
8,-286672.454332
9,-172881.114486
10,-172303.062989
11,79077.000739
12,402758.008470
13,192495.045915
14,-233118.610543
15,-173971.415172
16,-203341.224132
17,-341232.910083
18,-301259.979942
19,1468569.802867
20,-55576.683257
21,-1126101.630323
22,-157190.966785
23,219052.172019
24,-139786.276469
25,-216693.232423
26,-292070.780990
27,-55407.682084
28,61076.776859
29,57962.725750
30,225046.298829
31,345895.969038
32,284835.795591
33,140958.502845
34,15052.469128
35,-96266.663745
36,-67488.823921
37,-56997.795191
38,-173350.122466
39,-144511.250532
40,19251.374678
41,-18364.142300
42,-48633.334254
43,161236.279958
44,-457771.041934
45,1044162.150005
46,267813.531689
47,-817028.739417
48,-360540.399680
49,331554.981289
50,526613.174399
51,269690.251399
52,217323.630534
53,111242.670566
54,92991.908296
55,94441.067787
56,17565.751359
57,65054.148367
58,173240.085344
59,135704.304683
60,-131892.177120
61,-145121.754130
62,-68767.728803
63,-128777.303380
64,8994.041525
65,11406.208809
66,64268.959478
67,389567.147573
68,218303.839583
69,81169.525478
70,59581.270102
71,83397.796020
72,-200170.978205
73,-161927.102751
74,-15381.236308
75,-107056.673083
76,-238756.007756
77,-137274.636637
78,-160256.129576
79,91420.482933
80,-153460.755657
81,269306.872544
82,243426.521487
83,121813.354224
84,-95870.565723
85,-1003276.355382
86,-505932.573029
87,1055093.814273
88,1510810.843534
89,-435380.389114
90,-1423430.002262
91,242588.946026
92,-88758.312101
93,-386576.982890
94,92167.656813
95,140985.769951
96,-65702.518870
97,-198643.939386
98,-161946.703699
99,-51089.335201
100,85265.598844
101,112509.651521
102,148345.272461
103,209116.312636
104,116350.930238
105,9702.288273
106,-158402.648932
107,-211704.740725
108,-112398.593809
109,-132191.332306
110,-49008.880413
111,-151785.500076
112,-98973.436099
113,158366.281478
114,294565.001378
115,320400.081579
116,343898.829821
117,234476.690225
118,-281365.816909
119,-675194.684477
120,903404.657914
121,-11589.953237
122,-668660.224925
123,-46632.449685
124,612580.392653
125,182745.549554
126,66525.400541
127,73061.696257
128,-50251.424797
129,-171316.678300
130,56708.936667
131,203114.641724
132,264696.384573
133,-58939.723829
134,-121888.372754
135,38899.166032
136,36128.533436
137,-123376.772010
138,38672.790810
139,248246.189443
140,52836.145398
141,-90283.337432
142,258173.167520
143,28110.818145
144,-81405.178300
145,49051.985594
146,-210836.798496
147,62452.286528
148,-611115.396155
149,-1158528.821066
150,-393293.573612
151,1250700.751566
152,986754.947169
153,-629099.931168
154,-1163780.078663
155,332073.103151
156,-43290.144055
157,-487456.349979
158,-388555.716252
159,-89346.626040
160,-92834.404025
161,-74037.234917
162,120620.891186
163,249771.258308
164,238613.573438
165,192129.812674
166,71946.529782
167,-110353.227343
168,-29326.222204
169,59645.950877
170,100415.605716
171,1064.643745
172,16657.215298
173,-132686.704354
174,-163243.454621
175,-48261.958446
176,-59599.914802
177,837417.184303
178,-324566.514091
179,-638195.348110
180,294942.677442
181,414809.791483
182,-104531.563412
183,35487.744739
184,-66394.868985
185,-18087.669857
186,-87085.147046
187,-75067.511396
188,-74531.279365
189,69736.599283
190,31813.519454
191,121264.159353
192,343829.774572
193,228403.385470
194,202958.419222
195,-47802.654335
196,-145724.615122
197,-92618.497599
198,-99211.153131
199,-164192.967961
200,-317509.798206
201,-177103.374093
202,35843.440814
203,103547.431775
204,-50834.832244
205,-17643.956214
206,93372.081577
207,148255.041589
208,324765.948661
209,285928.065090
210,10553.405794
211,-188329.476756
212,-398889.546453
213,-463866.258851
214,69041.432995
215,1116276.130207
216,155005.584785
217,-1018777.749177
218,-142838.423336
219,82221.309884
220,-238409.336149
221,-114743.519118
222,14066.734038
223,27038.165254
224,139652.848455
225,460532.678241
226,286613.944395
227,-8635.828807
228,96871.963909
229,169070.424753
230,-46946.604046
231,-126845.407478
232,-253902.358677
233,-188297.286331
234,-164681.289064
